date,O+,A+,B+,AB+,O-,A-,B-,AB-
2023-01-01,10,9,2,1,0,0,0,0
2023-01-02,20,18,5,2,1,1,0,0
2023-01-03,19,17,5,2,1,1,0,0
2023-01-04,22,20,6,2,1,1,0,0
2023-01-05,22,20,6,2,1,1,0,0
2023-01-06,18,16,4,1,0,0,0,0
2023-01-07,18,17,5,2,1,1,0,0
2023-01-08,10,9,2,1,0,0,0,0
2023-01-09,14,12,3,1,0,0,0,0
2023-01-10,21,19,5,2,1,1,0,0
2023-01-11,21,19,5,2,1,1,0,0
2023-01-12,13,12,3,1,0,0,0,0
2023-01-13,11,10,3,1,0,0,0,0
2023-01-14,12,11,3,1,0,0,0,0
2023-01-15,15,13,4,1,0,0,0,0
2023-01-16,18,17,5,2,1,1,0,0
2023-01-17,12,11,3,1,0,0,0,0
2023-01-18,19,17,5,2,1,1,0,0
2023-01-19,18,17,5,2,1,1,0,0
2023-01-20,16,14,4,1,0,0,0,0
2023-01-21,11,10,3,1,0,0,0,0
2023-01-22,14,13,3,1,0,0,0,0
2023-01-23,15,14,4,1,0,0,0,0
2023-01-24,19,17,5,2,1,1,0,0
2023-01-25,13,12,3,1,0,0,0,0
2023-01-26,11,10,3,1,0,0,0,0
2023-01-27,22,20,6,2,1,1,0,0
2023-01-28,10,9,2,1,0,0,0,0
2023-01-29,14,13,4,1,0,0,0,0
2023-01-30,12,11,3,1,0,0,0,0
2023-01-31,17,16,4,1,0,0,0,0
2023-02-01,15,14,4,1,0,0,0,0
2023-02-02,13,12,3,1,0,0,0,0
2023-02-03,17,15,4,1,0,0,0,0
2023-02-04,17,15,4,1,0,0,0,0
2023-02-05,16,14,4,1,0,0,0,0
2023-02-06,21,19,5,2,1,1,0,0
2023-02-07,18,16,4,1,0,0,0,0
2023-02-08,14,13,4,1,0,0,0,0
2023-02-09,23,21,6,2,1,1,0,0
2023-02-10,24,22,6,2,1,1,0,0
2023-02-11,9,8,2,1,0,0,0,0
2023-02-12,10,9,2,1,0,0,0,0
2023-02-13,16,15,4,1,0,0,0,0
2023-02-14,19,18,5,2,1,1,0,0
2023-02-15,19,18,5,2,1,1,0,0
2023-02-16,17,15,4,1,0,0,0,0
2023-02-17,12,11,3,1,0,0,0,0
2023-02-18,15,14,4,1,0,0,0,0
2023-02-19,16,14,4,1,0,0,0,0
2023-02-20,17,16,4,1,0,0,0,0
2023-02-21,22,20,6,2,1,1,0,0
2023-02-22,19,18,5,2,1,1,0,0
2023-02-23,20,18,5,2,1,1,0,0
2023-02-24,16,14,4,1,0,0,0,0
2023-02-25,15,13,4,1,0,0,0,0
2023-02-26,10,9,2,1,0,0,0,0
